City,Industry,average_salary
Waltham," Buyer",76650.000000
"East Bay"," Veterinary medicine",155000.000000
Delft,Academia,48330.500000
London,Academia,34800.000000
Teramo,Academia,16000.000000
"Moscow ","Academia ",15000.000000
Athens,"Academia - STEM",32000.000000
"Ann Arbor","Academia / Research",68500.000000
Austin,"Academia--cell and molecular biology",48000.000000
Chicago,"Academic Medicine ",55000.000000
Chicago,"Academic Press Production",42000.000000
Oakland,"academic publishing",73000.000000
"NY Metro","Academic publishing",73000.000000
"Evanston, IL","Academic publishing",40800.000000
London,"Academic Publishing",23500.000000
Milwaukee,"Academic publishing ",30000.000000
NYC,"academic research",80000.000000
"San Diego","academic research",64000.000000
"Tucson ","Academic research",63500.000000
Galveston,"Academic research",56500.000000
"Hamilton, ON","Academic research",52000.000000
Portland,"Academic research",48000.000000
Belmont,"Academic research (Psychology)",36883.000000
"Greater Boston Area","Academic research (social science)",45000.000000
"New Haven","Academic science",50000.000000
Denver,"Academic science",37000.000000
Sheffield,"Academic Science ",40322.000000
"Birmingham ","Academic Scientific Research",35600.000000
"NA (remote). Live near Boston, work is based in upstate NY","Academic/nonprofit research",37440.000000
"New Brunswick",Accessibility,74000.000000
Toronto,"Accounting, Banking & Finance",206987154.310345
"Hong Kong","Accounting, Banking & Finance",5000000.000000
"Buenos Aires","Accounting, Banking & Finance",845000.000000
"Cape town","Accounting, Banking & Finance",805000.000000
Copenhagen,"Accounting, Banking & Finance",700000.000000
Ystad,"Accounting, Banking & Finance",396000.000000
"Washington, D.C.","Accounting, Banking & Finance",338250.000000
Kochi,"Accounting, Banking & Finance",300000.000000
Buford,"Accounting, Banking & Finance",250000.000000
"Birmingham ","Accounting, Banking & Finance",235000.000000
"Sao Paulo","Accounting, Banking & Finance",226800.000000
Malvern,"Accounting, Banking & Finance",200000.000000
"Foster City","Accounting, Banking & Finance",200000.000000
Asheville,"Accounting, Banking & Finance",200000.000000
"New York Metro ","Accounting, Banking & Finance",195000.000000
Washington,"Accounting, Banking & Finance",194062.500000
"Houston Texas","Accounting, Banking & Finance",185000.000000
"New York ","Accounting, Banking & Finance",185000.000000
Natick,"Accounting, Banking & Finance",180000.000000
Warsaw,"Accounting, Banking & Finance",180000.000000
"Valparaiso ","Accounting, Banking & Finance",170000.000000
Weymouth,"Accounting, Banking & Finance",165000.000000
"Saint Louis","Accounting, Banking & Finance",165000.000000
Fairbury,"Accounting, Banking & Finance",165000.000000
"New York City ","Accounting, Banking & Finance",163256.500000
LA,"Accounting, Banking & Finance",160000.000000
"South Lake Tahoe","Accounting, Banking & Finance",160000.000000
"San Francisco ","Accounting, Banking & Finance",158455.000000
Franklin,"Accounting, Banking & Finance",158363.000000
"Boston ","Accounting, Banking & Finance",158187.666667
"Jersey City, NJ","Accounting, Banking & Finance",158000.000000
"Fully Remote (Greater Boston)","Accounting, Banking & Finance",155000.000000
Auckland,"Accounting, Banking & Finance",154333.333333
"Saddle Brook","Accounting, Banking & Finance",153000.000000
Brooklyn,"Accounting, Banking & Finance",150000.000000
"Austin ","Accounting, Banking & Finance",150000.000000
Redmond,"Accounting, Banking & Finance",148000.000000
"Washington ","Accounting, Banking & Finance",148000.000000
WFH,"Accounting, Banking & Finance",147000.000000
"San Francisco","Accounting, Banking & Finance",145345.714286
SHIRLEY,"Accounting, Banking & Finance",143000.000000
"NYC ","Accounting, Banking & Finance",142500.000000
"Phoenix ","Accounting, Banking & Finance",141000.000000
"Florham Park","Accounting, Banking & Finance",140000.000000
"Orange County","Accounting, Banking & Finance",140000.000000
Ayer,"Accounting, Banking & Finance",140000.000000
"Davenport ","Accounting, Banking & Finance",140000.000000
Lehi,"Accounting, Banking & Finance",140000.000000
Tysons,"Accounting, Banking & Finance",140000.000000
"New YorknCity","Accounting, Banking & Finance",140000.000000
"Redwood City","Accounting, Banking & Finance",139500.000000
Sydney,"Accounting, Banking & Finance",137600.000000
Zurich,"Accounting, Banking & Finance",135000.000000
"prefer not to say","Accounting, Banking & Finance",135000.000000
"Chester County","Accounting, Banking & Finance",133000.000000
Skillman,"Accounting, Banking & Finance",133000.000000
Hamilton,"Accounting, Banking & Finance",132500.000000
Reno,"Accounting, Banking & Finance",132500.000000
"Newark ","Accounting, Banking & Finance",132500.000000
Fairfax,"Accounting, Banking & Finance",132460.500000
Mclean,"Accounting, Banking & Finance",132055.555556
"South San Francisco","Accounting, Banking & Finance",131100.000000
"Cherry Hill","Accounting, Banking & Finance",130500.000000
"Miami Beach","Accounting, Banking & Finance",130000.000000
" Chicago","Accounting, Banking & Finance",130000.000000
"New York","Accounting, Banking & Finance",129805.687500
NYC,"Accounting, Banking & Finance",129800.000000
"Twin Cities suburbs","Accounting, Banking & Finance",127000.000000
"Washington, DC","Accounting, Banking & Finance",125200.000000
"Neptune Beach","Accounting, Banking & Finance",125000.000000
Sunnyvale,"Accounting, Banking & Finance",125000.000000
Newberg,"Accounting, Banking & Finance",125000.000000
Concord,"Accounting, Banking & Finance",124155.000000
"Large metro area","Accounting, Banking & Finance",122709.000000
Irvine,"Accounting, Banking & Finance",122500.000000
"Decline to answer","Accounting, Banking & Finance",122000.000000
AtlantA,"Accounting, Banking & Finance",120234.782609
"Greater Toronto Area","Accounting, Banking & Finance",120000.000000
Tucson,"Accounting, Banking & Finance",120000.000000
"Utah County","Accounting, Banking & Finance",120000.000000
"Munich ","Accounting, Banking & Finance",120000.000000
Northbrook,"Accounting, Banking & Finance",120000.000000
"Perth ","Accounting, Banking & Finance",120000.000000
Home,"Accounting, Banking & Finance",120000.000000
Vienna,"Accounting, Banking & Finance",120000.000000
"Charlottesville ","Accounting, Banking & Finance",120000.000000
"White Plains","Accounting, Banking & Finance",120000.000000
Wilmington,"Accounting, Banking & Finance",119900.000000
"New York City","Accounting, Banking & Finance",119806.413793
Plano,"Accounting, Banking & Finance",119000.000000
Chicago,"Accounting, Banking & Finance",118915.961538
Detroit,"Accounting, Banking & Finance",116247.000000
"Jersey City","Accounting, Banking & Finance",116225.000000
"San Jose","Accounting, Banking & Finance",116216.666667
"Vienna, VA","Accounting, Banking & Finance",115000.000000
Laurel,"Accounting, Banking & Finance",115000.000000
"Central Illinois","Accounting, Banking & Finance",115000.000000
Nashua,"Accounting, Banking & Finance",115000.000000
"Calgary Alberta Canada","Accounting, Banking & Finance",115000.000000
Brussels,"Accounting, Banking & Finance",114333.333333
"Sydney ","Accounting, Banking & Finance",114000.000000
Alexandria,"Accounting, Banking & Finance",113000.000000
Glenview,"Accounting, Banking & Finance",112500.000000
"Lancaster ","Accounting, Banking & Finance",112000.000000
"Cincinnati ","Accounting, Banking & Finance",112000.000000
Anchorage,"Accounting, Banking & Finance",111866.666667
Ewing,"Accounting, Banking & Finance",111000.000000
Boston,"Accounting, Banking & Finance",110769.125000
Bloomington,"Accounting, Banking & Finance",110000.000000
"DMV Metro Area","Accounting, Banking & Finance",110000.000000
Enon,"Accounting, Banking & Finance",110000.000000
"Hampton Roads","Accounting, Banking & Finance",110000.000000
Quincy,"Accounting, Banking & Finance",110000.000000
Singapore,"Accounting, Banking & Finance",110000.000000
Olympia,"Accounting, Banking & Finance",110000.000000
Renton,"Accounting, Banking & Finance",109700.000000
"Los Angeles","Accounting, Banking & Finance",108961.032258
Auburn,"Accounting, Banking & Finance",108250.000000
"Owings Mills","Accounting, Banking & Finance",108000.000000
Dallas,"Accounting, Banking & Finance",107807.708333
DC,"Accounting, Banking & Finance",107500.000000
"League city","Accounting, Banking & Finance",107500.000000
"Pittsburgh area","Accounting, Banking & Finance",107000.000000
Ashland,"Accounting, Banking & Finance",106600.000000
"Charlotte ","Accounting, Banking & Finance",106250.000000
Melbourne,"Accounting, Banking & Finance",106204.200000
Providence,"Accounting, Banking & Finance",105450.000000
Calgary,"Accounting, Banking & Finance",105142.857143
"Walnut Creek","Accounting, Banking & Finance",105000.000000
"San Ramon ","Accounting, Banking & Finance",105000.000000
Potomac,"Accounting, Banking & Finance",105000.000000
"Nashville ","Accounting, Banking & Finance",105000.000000
Erie,"Accounting, Banking & Finance",105000.000000
"Vancouver,  BC","Accounting, Banking & Finance",104000.000000
Bethesda,"Accounting, Banking & Finance",103000.000000
