Industry,Gender,education_level,avg_salary
" Buyer",Woman,"Some college",76650.000000
" Veterinary medicine",Woman,"Professional degree (MD, JD, etc.)",155000.000000
Academia,Man,PhD,56400.000000
Academia,Woman,"Master's degree",40261.000000
Academia,Woman,PhD,25400.000000
"Academia ",Woman,PhD,15000.000000
"Academia - STEM",Woman,"College degree",32000.000000
"Academia / Research",Woman,"Master's degree",68500.000000
"Academia--cell and molecular biology",Woman,PhD,48000.000000
"Academic Medicine ",Man,"College degree",55000.000000
"Academic Press Production",Woman,"Master's degree",42000.000000
"academic publishing",Woman,"College degree",73000.000000
"Academic publishing",Woman,"Master's degree",48250.000000
"Academic publishing",Woman,PhD,40800.000000
"Academic publishing ",Woman,"Master's degree",30000.000000
"academic research",Man,PhD,80000.000000
"academic research",Woman,PhD,64000.000000
"Academic research",Man,"College degree",63500.000000
"Academic research",Woman,"Master's degree",52166.666667
"Academic research (Psychology)",Woman,"College degree",36883.000000
"Academic research (social science)",Woman,"Master's degree",45000.000000
"Academic science",Woman,PhD,50000.000000
"Academic science",Woman,"Master's degree",37000.000000
"Academic Science ",Non-binary,PhD,40322.000000
"Academic Scientific Research",Woman,"College degree",35600.000000
"Academic/nonprofit research",Woman,"College degree",37440.000000
Accessibility,Woman,"College degree",74000.000000
"Accounting, Banking & Finance",Woman,"College degree",7580300.097500
"Accounting, Banking & Finance",Non-binary,"High School",1694166.666667
"Accounting, Banking & Finance",Man,PhD,205666.666667
"Accounting, Banking & Finance",Woman,Unknown,166511.111111
"Accounting, Banking & Finance",Unknown,Unknown,158050.000000
"Accounting, Banking & Finance",Unknown,"Master's degree",131916.666667
"Accounting, Banking & Finance","Other or prefer not to answer","Professional degree (MD, JD, etc.)",128500.000000
"Accounting, Banking & Finance",Man,"Professional degree (MD, JD, etc.)",124495.454545
"Accounting, Banking & Finance",Woman,"Professional degree (MD, JD, etc.)",123018.673469
"Accounting, Banking & Finance",Man,"Master's degree",121556.136364
"Accounting, Banking & Finance",Woman,PhD,113300.000000
"Accounting, Banking & Finance",Man,"College degree",103051.920904
"Accounting, Banking & Finance",Man,"Some college",100880.542857
"Accounting, Banking & Finance",Woman,"Master's degree",100841.545455
"Accounting, Banking & Finance","Other or prefer not to answer","College degree",100318.181818
"Accounting, Banking & Finance",Unknown,"College degree",96000.000000
"Accounting, Banking & Finance","Other or prefer not to answer","Master's degree",95771.428571
"Accounting, Banking & Finance",Man,"High School",90070.416667
