Country,Job_Title,annual_salary
" New Zealand","Personal Assistant/Office Manager",86000.00
" U.S.","Research Data Analyst",42500.00
" United States","Social Media Manager",69000.00
" US","Product Manager",86000.00
"???? ","Media Director",165000.00
"$2,175.84/year is deducted for benefits","Financial Administrator",61700.00
Afghanistan,"Country Director",41000.00
Africa,"Communications Specialist",90000.00
America,"Senior Researcher",194000.00
"Aotearoa New Zealand","Programme Coordinator",54448.00
Argentina,"Deliverability Specialist",1500000.00
"ARGENTINA BUT MY ORG IS IN THAILAND","Programme Officer for Latin America and the Caribbean - Research and Advocacy",804000.00
Australi,"Assistant winemaker",50768.00
Australia,"Environmental Consultant",730000.00
"Australia ","It security consultant ",1000000.00
"Australian ","Technical Lead",195000.00
Austria,"DevOps Lead",120000.00
"Austria, but I work remotely for a Dutch/British company","Engineering Manager",105000.00
Bangladesh,Diplomat,70000.00
"Bangladesh ","Program specialist ",845000.00
Belgium,Compliance,180000.00
"Belgium ",Manager,85000.00
Bermuda,"Office Manager and Executive Assistant",132500.00
"bonus based on meeting yearly goals set w/ my supervisor","Product Manager",121000.00
"Bosnia and Herzegovina","Marketing Automation Analyst",6500.00
Brasil,"Software Architect",182000.00
Brazil,"Solutions Architect",253000.00
"Brazil ","Front End Engineer ",102.00
"Britain ","Class teacher",39000.00
Bulgaria,"SAP Consultant",55000.00
Burma,IT,1700.00
"California ","Plant Manager ",78000.00
Cambodia,"Volunteer and Partnerships Program Manager",24000.00
Can,"Project Coordinator",54000.00
Canad,"Senior Project Coordinator ",71000.00
Canada,"Investment Banking Analyst",6000070000.00
"Canada ","Software Development Manager",350000.00
"Canada and USA","Thouroughbred exercise rider  ",40000.00
"Canada, Ottawa, ontario","Senior Program Manager ",153000.00
Canadw,"Senior Associate",80000.00
Canda,"Research Coordinator",70000.00
Catalonia,"Financial Manager",60000.00
"Cayman Islands","Senior analyst",81000.00
Chile,"Customer project officer",38000.00
China,student,5000000.00
Colombia,"Senior IT Consultant",120000000.00
"Company in Germany. I work from Pakistan.","Data Engineer",52000.00
Congo,"Program Manager",84000.00
Contracts,"Mission Support Specialist",88000.00
"Costa Rica","Value Stream Manager",78000.00
"Cote d'Ivoire","HR and Operations Manager",67500.00
croatia,waiter,50000.00
"Croatia ",Director,36000.00
Csnada,Manager,140000.00
Cuba,"Frontend Engineer",9600.00
"Currently finance","Digital Specialist",90000.00
Cyprus,"Senior Management Consultant",21450.00
"Czech Republic","Principal Software Engineer",1300000.00
"Czech Republic ","Helpdesk Professional ",525000.00
Czechia,"Network Engineer",1200000.00
Danmark,"Lead BI Consultant",110000.00
dbfemf,"mn jj",15.00
Denmark,"IT Director",1400000.00
"Denmark ","Space Plan Consultant",829500.00
Ecuador,"Petroleum Engineer",84000.00
England,Partner,500000.00
"England ","Assistant professor ",80000.00
"England, Gb","Senior consultant",55000.00
"England, UK","Customer success manager",44000.00
"England, UK.","Centre Facilitator",17000.00
"England, United Kingdom","Trainee solicitor",24000.00
"England, United Kingdom ","Administration Manager ",20800.00
England/UK,"Publishing Programme Manager",42000.00
Englang,"Lead Information Analyst",31000.00
Eritrea,"Foreign Service Officer",98000.00
Estonia,"Email Marketing and SMS Specialist",27960.00
europe,recruiter,42000.00
ff,fasd,5.00
Finland,"Performance Marketing Lead ",65000.00
"For the United States government, but posted overseas","Consular Officer",85000.00
France,"Principal developer",350000.00
"France ","Project manager",58000.00
"From New Zealand but on projects across APAC","Workplace Strategist",180000.00
"From Romania, but for an US based company","Data Analyst",24000.00
Germany,"Cyber Security Management",1500000.00
"Germany ","Strategic Assistant",125000.00
Ghana,"Chief Operating Officer",132000.00
Global,Consultant,185000.00
"Great Britain","Procurement manager",40000.00
"Great Britain ","Laboratory Technician",29000.00
Greece,"Justice Minister Employee",45000.00
Hartford,"Staff Development Specialist",91000.00
"Hong Kong","Senior Human Resources Executive",360000.00
"Hong Kong ","Senior Manager, Communications ",102028.00
"hong konh","Video Editor",47370.00
Hungary,"IT advisor, manager",69241.00
"I work for a UAE-based organization, though I am personally in the US.","Associate Director, Graduate & Postdoctoral Affairs",83000.00
"I work for an US based company but I'm from Argentina.","Audiovisual Translator",240000.00
I.S.,"associate attorney",80000.00
ibdia,Intern,0.00
India,"Ent agile coach",4000000.00
Indonesia,"Regional Operations & Training Manager ",870000000.00
"International ","Clinical applications specialist ",108000.00
Ireland,"Site Reliability Engineer",180000.00
"Ireland ","Senior program manager ",106000.00
IS,"Loan Processor",42000.00
ISA,"Senior manager",167000.00
"Isle of Man","Senior software developer ",86000.00
Israel,"Director of Engineering",580000.00
Italy,"Tech Lead",148000.00
Jamaica,"IT Team Lead",45000.00
Japan,"Voice Actor",20800000.00
"Japan ","Content Manager ",4160000.00
"Japan, US Gov position","Visual Information Specialist",30160.00
"Jersey, Channel islands","Executive assistant",31000.00
Jordan,"Business Consultant",34000.00
Kenya,"Director of Business Development",60000.00
Kuwait,"Instructional coach ",13560.00
Latvia,"Vice President",50000.00
Liechtenstein,"Program Manager",152000.00
Lithuania,"Lead software engineer",72000.00
London,"Site Activation Manager",70000.00
LOUTRELAND,DBA,1000.00
Luxembourg,"Technical Program Manager",120000.00
Luxemburg,"Software Engineer",91000.00
"Mainland China",Teacher,120000.00
Malaysia,"Vice President",288000.00
"Malaysia ",QC,5265.00
Malta,"Software architect ",42000.00
Mexico,"Senior Engineering Manager",1300000.00
"Mexico ","Foreign Service Officer ",128000.00
Morocco,"Production engineer",28000.00
Myanmar,"Risk Management Associate",1200.00
"n/a (remote from wherever I want)","Software Engineer",59040.00
na,na,0.00
Nederland,"developer ",150000.00
Netherlands,"Software Architect ",150000.00
"Netherlands ","Software engineering manager",112000.00
"New Zealand","General Manager Strategic Design",300000.00
"New Zealand ","General Manager",220000.00
"New Zealand Aotearoa","Senior Policy Adviser",120000.00
Nigeria,CTO,250000.00
"Nigeria ","Clinical physiologist ",1200000.00
NL,"Senior Manager",78000.00
