Job_Title,Experience_Level,avg_total_compensation
" Analyst","8 - 10 years",67800.000000
" Brand Manager","5-7 years",86625.000000
" Business Systems Analyst","11 - 20 years",59000.000000
" CAP team","8 - 10 years",36520.000000
" clerical","21 - 30 years",72800.000000
" Cloud Architect ","21 - 30 years",182000.000000
" CNA","5-7 years",33280.000000
" Commercial Manager ","5-7 years",38000.000000
" Content Development Specialist","2 - 4 years",63500.000000
" Controller ","8 - 10 years",112000.000000
" Customer Solutions Manager","11 - 20 years",170000.000000
" Customer Support Supervisor","11 - 20 years",50000.000000
" Field Associate","2 - 4 years",78000.000000
" Foreman","2 - 4 years",22000.000000
" Industrial Hygienist","21 - 30 years",178500.000000
" Network Coordinator","21 - 30 years",50000.000000
" Nurse Practitioner","11 - 20 years",96800.000000
" Program Manager ","21 - 30 years",84000.000000
" Senior DevOps Engineer","11 - 20 years",144100.000000
" Senior Manager","21 - 30 years",1250000.000000
" Technical Systems Administrator","11 - 20 years",60000.000000
" Vendor Manager","21 - 30 years",150000.000000
-,"11 - 20 years",43680.000000
"?Regulatory Compliance Manager","31 - 40 years",126000.000000
""mum"" ;)"","21 - 30 years",0.000000
"(Electronics) Hardware engineer","11 - 20 years",120000.000000
"(Environmental) Planner","8 - 10 years",82000.000000
"(Hotel) Sales Manager","21 - 30 years",62400.000000
"(State Agency) Legislative Director","8 - 10 years",82600.000000
"[radio] Operations Assistant","5-7 years",26500.000000
"[Software] Application Developer","11 - 20 years",67500.000000
"1st Grade Teacher","11 - 20 years",76000.000000
"1st Line ICT Support Analyst","21 - 30 years",45000.000000
"1st line manager","11 - 20 years",82400.000000
"24 Frame Video Playback","8 - 10 years",206000.000000
"2D Artist","2 - 4 years",33600.000000
"2nd Grade Teacher","2 - 4 years",35360.000000
"3D Artist","11 - 20 years",81200.000000
"3d artist","8 - 10 years",21000.000000
"3D Character Artist","2 - 4 years",21000.000000
"3D Project Coordinator","11 - 20 years",52000.000000
"3rd Deputy-County Treasurer’s Office","5-7 years",37000.000000
"3rd line technical analyst","21 - 30 years",53000.000000
"4th grade teacher","11 - 20 years",74000.000000
"5th grade teacher","8 - 10 years",50000.000000
"5th year Associate at law firm ","8 - 10 years",226000.000000
"6-8 English as a Second Language Teacher","8 - 10 years",49008.000000
"6th and 7th Grade Math Teacher","5-7 years",38000.000000
"6th Grade ELA/History Teacher","8 - 10 years",51000.000000
"6th grade teacher","5-7 years",58000.000000
"7th grade ESOL Teacher","11 - 20 years",57400.000000
"7th grade teacher","2 - 4 years",48000.000000
"9-12 grade teacher","11 - 20 years",53900.000000
"911 Dispatch","11 - 20 years",72612.000000
"911 Dispatcher","11 - 20 years",88000.000000
"A. R supervisor ","11 - 20 years",59000.000000
"A/P Accountant","41 years or more",71000.000000
A/R,"5-7 years",64000.000000
"A/R Analyst","21 - 30 years",92000.000000
"ABA instructional tutor","11 - 20 years",31000.000000
"Academic & Student Life Coordinator","5-7 years",51000.000000
"Academic Administrator","11 - 20 years",54000.000000
"Academic Advising Coordinator","5-7 years",45000.000000
"Academic Advisor","41 years or more",58000.000000
"Academic Advisor","21 - 30 years",55666.666667
"Academic Advisor","8 - 10 years",52428.571429
"Academic Advisor","11 - 20 years",51571.428571
"Academic Advisor","5-7 years",48431.818182
"Academic Advisor ","11 - 20 years",64000.000000
"Academic Advisor ","8 - 10 years",55000.000000
"Academic Advisor ","5-7 years",52000.000000
"Academic Advisor ","1 year or less",46000.000000
"Academic Advisor ","2 - 4 years",36000.000000
"Academic Advisor 3","11 - 20 years",50000.000000
"Academic Advisor I","11 - 20 years",38000.000000
"Academic Advisor II","2 - 4 years",40000.000000
"Academic Advisor IV","5-7 years",52000.000000
"Academic Advisor/Recruiter for master's program","11 - 20 years",72300.000000
"Academic Coach","5-7 years",52000.000000
"Academic Communications","11 - 20 years",72000.000000
"Academic Coordinator","11 - 20 years",51425.000000
"Academic Coordinator","2 - 4 years",37500.000000
"Academic Counselor","11 - 20 years",36050.000000
"Academic Evaluations Specialist","5-7 years",62000.000000
"Academic Librarian","8 - 10 years",69500.000000
"Academic librarian","11 - 20 years",68333.333333
"Academic librarian","5-7 years",65000.000000
"Academic librarian","2 - 4 years",37116.666667
"academic librarian ","8 - 10 years",60000.000000
"Academic Librarian ","11 - 20 years",48000.000000
"Academic oncologist","8 - 10 years",225000.000000
"Academic Programs Director","11 - 20 years",80000.000000
"Academic Records Coordinator","8 - 10 years",54800.000000
"Academic Services Coord","21 - 30 years",42700.000000
"Academic Services Director","11 - 20 years",100000.000000
"Academic Success Coach","31 - 40 years",53000.000000
"Academic success coach","21 - 30 years",53000.000000
"Academic Support Coordinator","5-7 years",40000.000000
"Academic Support Specialist","11 - 20 years",62400.000000
"ACAT Associate","11 - 20 years",52000.000000
"Access Services Assistant","5-7 years",38000.000000
"Access Services Manager","11 - 20 years",52000.000000
"Accessibility and Inclusion Coordinator","5-7 years",67000.000000
"Accessibility Consultant","8 - 10 years",120000.000000
"Accessibility Coordinator","5-7 years",63826.000000
"Accessibility Engineer","2 - 4 years",182000.000000
"Accessibility lead","11 - 20 years",153000.000000
"Account administrator","5-7 years",56500.000000
"Account Administrator ","2 - 4 years",39975.000000
"Account Administrator ","11 - 20 years",35540.000000
"Account Analyst","5-7 years",70800.000000
"account assistant ","2 - 4 years",35000.000000
"Account Based Marketing Manager","5-7 years",99000.000000
"Account Coordinator","1 year or less",42000.000000
"Account Coordinator ","2 - 4 years",45500.000000
"Account coordinator ","21 - 30 years",37877.000000
"Account Developer","2 - 4 years",66500.000000
"Account Development Representative","5-7 years",64520.000000
"Account Director","8 - 10 years",131000.000000
"Account Director","11 - 20 years",128200.000000
"Account Director","21 - 30 years",125000.000000
"Account Director","5-7 years",90000.000000
